SIGNAL,,,,,AOD,,DAOD,NTUP
300700,B0 -> K*0 mumu,MC15.300700.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_mu4mu4.py,plots,log,mc16_13TeV.300700.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300701,B0bar -> anti-K*0 mumu,MC15.300701.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_mu4mu4.py,plots,log,mc16_13TeV.300701.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300702,B0 -> K*0 J/psi(mumu),MC15.300702.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300702.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300703,B0bar -> anti-K*0- J/psi(mumu),MC15.300703.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300703.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300704,B0 -> K*0 psi(2S) (mumu),MC15.300704.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300704.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300705,B0bar -> anti-K*0 psi(2S) (mumu),MC15.300705.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300705.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300706,Bs -> phi ee,MC15.300706.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_e4e4.py,plots,log,mc16_13TeV.300706.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300707,Bsbar -> phi ee,MC15.300707.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_e4e4.py,plots,log,mc16_13TeV.300707.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300708,Bs -> phi J/psi(ee),MC15.300708.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_e4e4.py,plots,log,mc16_13TeV.300708.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300709,Bsbar -> phi J/psi(ee),MC15.300709.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_Jpsi_e4e4.py,plots,log,mc16_13TeV.300709.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_Jpsi_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300710,Bs ->phi psi(2S) (ee),MC15.300710.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_psi2S_e4e4.py,plots,log,mc16_13TeV.300710.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300711,Bsbar -> phi psi(2S) (ee),MC15.300711.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_psi2S_e4e4.py,plots,log,mc16_13TeV.300711.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_psi2S_e4e4.merge.AOD.e7074_e5984_s3126_r10724_r10726,,,
300712,Bs -> phi mumu,MC15.300712.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_mu4mu4.py,plots,log,mc16_13TeV.300712.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300713,Bsbar -> phi mumu,MC15.300713.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_mu4mu4.py,plots,log,mc16_13TeV.300713.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300714,Bs -> phi J/psi(mumu),MC15.300714.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300714.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300715,Bsbar -> phi J/psi(mumu),MC15.300715.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300715.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_Jpsi_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300716,Bs ->phi psi(2S) (mumu),MC15.300716.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300716.Py8BEG_A14_CTEQ6L1_Bs_phi_KK_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
300717,Bsbar -> phi psi(2S) (mumu),MC15.300717.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300717.Py8BEG_A14_CTEQ6L1_Bsbar_phi_KK_psi2S_mu4mu4.recon.AOD.e7074_a875_r10724,,,
,,,,,,,,
,,,,,,,,
BKG,,,,,,,,
300718,B+ -> pi+ J/psi(ee),MC15.300718.Py8BEG_A14_CTEQ6L1_Bp_Pip_Jpsi_e4e4.py,plots,log,mc16_13TeV.300718.Py8BEG_A14_CTEQ6L1_Bp_Pip_Jpsi_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300719,B- -> pi- J/psi(ee),MC15.300719.Py8BEG_A14_CTEQ6L1_Bm_Pim_Jpsi_e4e4.py,plots,log,mc16_13TeV.300719.Py8BEG_A14_CTEQ6L1_Bm_Pim_Jpsi_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300720,B+ -> pi+ J/psi(mumu),MC15.300720.Py8BEG_A14_CTEQ6L1_Bp_Pip_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300720.Py8BEG_A14_CTEQ6L1_Bp_Pip_Jpsi_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300721,B- -> pi- J/psi(mumu),MC15.300721.Py8BEG_A14_CTEQ6L1_Bm_Pim_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300721.Py8BEG_A14_CTEQ6L1_Bm_Pim_Jpsi_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300722,B+ -> K+ pi0(eeg),MC15.300722.Py8BEG_A14_CTEQ6L1_Bp_Kp_pi0_e4e4.py,plots,log,mc16_13TeV.300722.Py8BEG_A14_CTEQ6L1_Bp_Kp_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300723,B- -> K- pi0(eeg),MC15.300723.Py8BEG_A14_CTEQ6L1_Bm_Km_pi0_e4e4.py,plots,log,mc16_13TeV.300723.Py8BEG_A14_CTEQ6L1_Bm_Km_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300724,B+ -> pi+ pi0(eeg),MC15.300724.Py8BEG_A14_CTEQ6L1_Bp_Pip_pi0_e4e4.py,plots,log,mc16_13TeV.300724.Py8BEG_A14_CTEQ6L1_Bp_Pip_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300725,B- -> pi- pi0(eeg),MC15.300725.Py8BEG_A14_CTEQ6L1_Bm_Pim_pi0_e4e4.py,plots,log,mc16_13TeV.300725.Py8BEG_A14_CTEQ6L1_Bm_Pim_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300726,B+ -> pi+ eta(eeg),MC15.300726.Py8BEG_A14_CTEQ6L1_Bp_Pip_eta_e4e4.py,plots,log,mc16_13TeV.300726.Py8BEG_A14_CTEQ6L1_Bp_Pip_eta_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300727,B- -> pi- eta(eeg),MC15.300727.Py8BEG_A14_CTEQ6L1_Bm_Pim_eta_e4e4.py,plots,log,mc16_13TeV.300727.Py8BEG_A14_CTEQ6L1_Bm_Pim_eta_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300728,B+ -> pi+ eta(mumug),MC15.300728.Py8BEG_A14_CTEQ6L1_Bp_Pip_eta_mu4mu4.py,plots,log,mc16_13TeV.300728.Py8BEG_A14_CTEQ6L1_Bp_Pip_eta_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300729,B- -> pi- eta(mumug),MC15.300729.Py8BEG_A14_CTEQ6L1_Bm_Pim_eta_mu4mu4.py,plots,log,mc16_13TeV.300729.Py8BEG_A14_CTEQ6L1_Bm_Pim_eta_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300730,B+ -> K+ eta(eeg),MC15.300730.Py8BEG_A14_CTEQ6L1_Bp_Kp_eta_e4e4.py,plots,log,mc16_13TeV.300730.Py8BEG_A14_CTEQ6L1_Bp_Kp_eta_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300731,B- -> K- eta(eeg),MC15.300731.Py8BEG_A14_CTEQ6L1_Bm_Km_eta_e4e4.py,plots,log,mc16_13TeV.300731.Py8BEG_A14_CTEQ6L1_Bm_Km_eta_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300732,B+ -> K+ eta(mumug),MC15.300732.Py8BEG_A14_CTEQ6L1_Bp_Kp_eta_mu4mu4.py,plots,log,mc16_13TeV.300732.Py8BEG_A14_CTEQ6L1_Bp_Kp_eta_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300733,B- -> K- eta(mumug),MC15.300733.Py8BEG_A14_CTEQ6L1_Bm_Km_eta_mu4mu4.py,plots,log,mc16_13TeV.300733.Py8BEG_A14_CTEQ6L1_Bm_Km_eta_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300734,B0 -> K+pi- J/psi(ee),MC15.300734.Py8BEG_A14_CTEQ6L1_Bd_Kpi_Jpsi_e4e4.py,plots,log,mc16_13TeV.300734.Py8BEG_A14_CTEQ6L1_Bd_Kpi_Jpsi_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300735,B0bar -> K-pi+ J/psi(ee),MC15.300735.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_Jpsi_e4e4.py,plots,log,mc16_13TeV.300735.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_Jpsi_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300736,B0 -> K+pi- J/psi(mumu),MC15.300736.Py8BEG_A14_CTEQ6L1_Bd_Kpi_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300736.Py8BEG_A14_CTEQ6L1_Bd_Kpi_Jpsi_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300737,B0bar -> K-pi+ J/psi(mumu),MC15.300737.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_Jpsi_mu4mu4.py,plots,log,mc16_13TeV.300737.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_Jpsi_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300738,B0 -> K+pi- psi(2S)(ee),MC15.300738.Py8BEG_A14_CTEQ6L1_Bd_Kpi_psi2S_e4e4.py,plots,log,mc16_13TeV.300738.Py8BEG_A14_CTEQ6L1_Bd_Kpi_psi2S_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300739,B0bar -> K-pi+ psi(2S)(ee),MC15.300739.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_psi2S_e4e4.py,plots,log,mc16_13TeV.300739.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_psi2S_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300740,B0 -> K+pi- psi(2S)(mumu),MC15.300740.Py8BEG_A14_CTEQ6L1_Bd_Kpi_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300740.Py8BEG_A14_CTEQ6L1_Bd_Kpi_psi2S_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300741,B0bar -> K-pi+ psi(2S)(mumu),MC15.300741.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_psi2S_mu4mu4.py,plots,log,mc16_13TeV.300741.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_psi2S_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300742,B0 -> K+pi- pi0(eeg),MC15.300742.Py8BEG_A14_CTEQ6L1_Bd_Kpi_pi0_e4e4.py,plots,log,mc16_13TeV.300742.Py8BEG_A14_CTEQ6L1_Bd_Kpi_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300743,B0bar -> K-pi+ pi0(eeg),MC15.300743.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_pi0_e4e4.py,plots,log,mc16_13TeV.300743.Py8BEG_A14_CTEQ6L1_Bdbar_Kpi_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300744,B0 -> K*0 eta(eeg),MC15.300744.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_eta_e4e4.py,plots,log,mc16_13TeV.300744.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_eta_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300745,B0bar -> anti-K*0- eta(eeg),MC15.300745.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_eta_e4e4.py,plots,log,mc16_13TeV.300745.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_eta_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300746,B0 -> K*0 eta(mumug),MC15.300746.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_eta_mu4mu4.py,plots,log,mc16_13TeV.300746.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_eta_mu4mu4.recon.AOD.e7179_a875_r10724,,,
300747,B0bar -> anti-K*0- eta(mumug),MC15.300747.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_eta_mu4mu4.py,plots,log,mc16_13TeV.300747.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_eta_mu4mu4.recon.AOD.e7166_a875_r10724,,,
300748,B0 -> K*0 pi0(eeg),MC15.300748.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_pi0_e4e4.py,plots,log,mc16_13TeV.300748.Py8BEG_A14_CTEQ6L1_Bd_Kstar_Kpi_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
300749,B0bar -> anti-K*0- pi0(eeg),MC15.300749.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_pi0_e4e4.py,plots,log,mc16_13TeV.300749.Py8BEG_A14_CTEQ6L1_Bdbar_Kstar_Kpi_pi0_e4e4.merge.AOD.e7166_e5984_s3126_r10724_r10726,,,
